,Unnamed: 0,Stkcd,SP_TTM,EP_TTM,EP_LYR,CashFlowYiled_LYR,CashFlowYiled_TTM,FreeCashFlowYield_TTM,BP_LR,Sales2EV,SaleEarnings_SQ_YoY,Earnings_SQ_YoY,Sales_SQ_YoY,ROE_LR,ROA_LR,jlr,yylr,yysr,Momentum_1M,Momentum_12M,MACrossover,Momentum_24M,CurrentRatio,AssetTurnover,LTD2Equity_LR,PD,BZC
0,0,1.0,-0.094165851,1.170521116,1.279680326,-1.251551582,-5.523516089,-5.528622309,2.407608384,0.32413291,0.005642904,-0.021444463,0.058173191,0.45830071,-0.686260629,0.022604646,-0.003180338,-0.055314112,0.109956993,-0.250030632,-0.409278239,-0.176515504,,-1.175343094,,-0.270819841,-2.433508635
1,1,2.0,1.323411103,1.673276554,0.67073156,1.245131977,1.642693714,1.653688205,0.346640528,0.421161938,0.015856294,-0.023447897,0.584914916,0.171617721,-0.468944002,0.047767343,0.070473512,-0.033596503,0.5060834,2.546161978,-0.301733985,2.475277425,-0.366039579,-0.543541948,0.325745207,3.333213655,0.932239919
2,2,6.0,-0.526402846,-0.343008947,-0.379756493,0.351822108,0.235721282,0.244900021,-0.146269939,-0.506803155,-0.082299331,-0.104401302,-1.201886334,-0.398854155,-0.558490302,0.044233937,0.062569007,-0.032784586,-0.582610696,-0.320443895,-0.104208161,0.156948817,0.159839935,-0.818927802,0.821691064,-0.087341943,0.295437577
3,3,9.0,-0.446248334,-0.137182895,-0.50756373,-0.115355916,-0.184549206,-0.181569224,-0.518994621,-0.438579719,-0.016227922,-0.04409885,0.437853981,-0.534542978,-0.461556165,0.017473803,0.011142158,-0.053709438,0.256957248,0.166197303,-0.172121982,-0.777165175,-0.256701661,-0.557945148,0.567539648,0.302398047,1.021734911
4,4,12.0,-0.304985722,-0.027588958,-0.057538248,0.171850398,0.154604671,0.153608719,-0.156566133,-0.157980968,0.296174451,0.109135756,0.220985651,0.278124357,0.171513686,0.022503252,-0.002874908,-0.057083959,-0.030186209,1.079145151,0.5411994,0.423012008,-0.744189719,-0.120093516,-0.104609389,-0.040618776,0.624483848
5,5,21.0,0.329212823,-0.365683554,-0.411644013,-0.142252273,-0.129953908,-0.129784057,-0.395253956,0.792965614,0.112874837,0.046282641,-0.317071311,-0.064177321,-0.22568072,0.019427968,-0.022462287,-0.057561725,0.033721377,1.139411582,0.996255929,0.496669434,-0.336343759,2.075546081,-0.618786554,-0.039190799,0.88258917
6,6,27.0,-0.440520089,-0.053502795,-0.024879256,0.030878406,0.11797001,0.087116208,1.399292561,-0.375704989,-0.021732209,-0.058555514,-0.379923794,-0.091559971,-0.286425161,0.027743233,-0.021911624,-0.057681593,-0.02960337,-0.825952754,-0.134023954,0.270355148,-0.52084154,-0.834520697,0.561979904,-1.925639114,-0.583835654
7,7,28.0,6.975930672,2.805927194,2.295452128,0.67124558,1.057336447,1.067124592,-0.67086658,1.097008499,0.044558552,0.019182781,-0.070811726,0.940780779,0.576809729,0.022762554,-0.002578581,-0.05671022,0.181398844,1.103126445,0.300928642,-0.006558038,-0.238585611,3.115282075,-0.598017652,-1.20952249,-0.898845377
8,8,30.0,-0.336306947,0.005478178,0.122471945,-0.051447834,-0.116819144,-0.11280541,0.068976204,-0.128570715,0.019457999,-0.0010272,0.104256234,0.601465962,0.76835815,0.121576657,-0.23294756,-0.059659938,2.186442246,-0.263821049,0.273211383,-0.415114777,-0.086418447,0.055634015,-0.387471984,-1.485176806,-0.060636709
9,9,31.0,0.237918919,-0.093048391,-0.340411408,0.374625541,-0.588327801,-0.583748121,0.50271822,-0.042583177,0.1763575,0.255631085,1.675413016,-0.316669101,-0.526012369,0.112235714,0.264922929,-0.022275793,-0.667856065,-0.655545186,-0.136599139,0.949824701,-0.067584289,-0.600776716,4.873168454,0.568916007,0.568140694
10,10,39.0,0.98732679,-0.568540312,-1.05042304,0.058184056,-0.495713027,-0.542001672,1.952359542,0.519743132,-0.154026735,-0.194410707,-0.709201731,-1.082715434,-1.025887007,0.029785221,-0.05079907,-0.055790506,0.11225033,-0.754464234,-0.130256541,-1.046222641,-0.501351662,-0.257492722,1.090403074,-0.434632783,-0.459631003
11,11,46.0,-0.388546495,-0.014227135,-0.199489143,-0.761979417,-1.129622761,-1.126728567,-0.201757646,-0.557435616,0.015323808,-0.037176333,5.401510398,0.465183477,-0.598712972,0.076237805,0.018832323,-0.033125443,0.264426876,-0.005328573,0.133499545,1.166850467,0.0955404,-0.983800152,5.899006065,1.006799622,-0.745442979
12,12,49.0,3.091219088,0.631324344,0.26339421,-0.150730473,0.838661508,0.843653413,-0.956601599,0.788612905,-0.051960341,-0.081040986,-0.592244423,0.580873318,0.190358024,0.022144879,0.032573942,-0.052809646,0.777229095,0.084151999,0.204101933,-0.78132516,-0.243028907,4.920960397,-0.65655524,0.197675108,0.689421785
13,13,50.0,0.040693401,-0.062275709,-0.49161997,-0.782093214,0.405214292,0.406235156,0.200643837,-0.171464637,0.206126438,-0.025743568,-0.293799366,-0.465808074,-0.394280448,0.033463855,-0.866588243,-0.054417914,-0.473071926,1.056916794,0.917101926,-1.489616416,0.14258397,-0.038332709,-0.384367831,0.366563491,1.286488702
14,14,60.0,0.028745919,-0.552209196,-0.540994194,-0.027942757,-0.14531277,-0.141815993,-0.402464393,0.244630829,-0.110104873,-0.117139918,-0.447869232,-0.72373557,-0.742793645,0.03029159,-0.007084994,-0.052381405,0.108121527,0.034057402,0.183140756,0.005070272,-0.524540245,1.055610578,-0.201465823,0.496120652,0.904620386
15,15,61.0,-0.604552474,-0.596883572,-0.545623028,0.012109427,0.056492599,0.050664994,-0.520042254,-0.660610744,0.017943946,-0.067291248,-0.024856977,-0.707558286,-0.732265085,0.038012388,-0.274715153,-0.059081432,-0.217011597,-0.123478019,-0.172557696,-0.435182146,-0.714266145,-1.006605276,0.463064471,-0.043019383,-0.408346228
16,16,62.0,-0.191198228,0.028962594,-0.119256029,-0.261531769,-0.194998267,-0.187857216,-0.7898061,-0.444373118,-0.011314441,-0.053893789,4.535331838,-0.173540954,-0.079922615,0.104548646,0.061501183,-0.049670769,-0.558023605,-0.404040708,0.270267028,-0.009171987,-0.227904212,0.178306624,-0.481497109,0.117109087,1.30419424
17,17,63.0,1.796564133,0.487313592,0.456776588,0.210206942,0.626700826,0.625252937,0.98601841,1.769461118,0.719011163,-0.004831022,-0.170459407,0.247977469,-0.228750063,0.019644166,0.040378826,-0.05602606,-0.209661401,-0.107712116,0.050301054,-0.347386199,-0.354334057,0.564467708,-0.1672113,-1.09451264,-1.029543327
18,18,66.0,4.836216384,-0.540466988,-0.324981963,0.084437239,0.666482795,0.664485248,0.303631788,5.247522508,0.127379512,0.100423814,-0.315639815,-0.884747779,-0.835908948,-0.002718042,-0.063001399,-0.057189497,0.16475744,-1.206006605,-1.369019627,0.992982562,-0.401805697,3.232328612,1.683159146,0.751791241,0.204637607
19,19,69.0,-0.297815187,0.186740072,-0.078110842,-0.17938094,-0.350685088,-0.3578552,0.975198459,-0.094359192,0.005583403,-0.020480552,-0.023030469,-0.067275493,-0.336605351,0.033271111,0.027510794,-0.04642085,-0.170105133,-0.095901396,0.150649114,-0.244928612,-0.190244543,-0.621766162,0.325615494,0.626039643,-1.05724854
20,20,78.0,-0.249391059,-0.33895991,-0.312638407,-0.217328191,-0.192396493,-0.186618569,-0.577956529,0.270824082,0.131678283,0.025827758,0.062692195,-0.280047589,-0.530794834,0.019721594,0.011055589,-0.055758731,0.694090592,-1.50949044,-3.543793025,1.297534731,-0.287586737,0.632798279,-0.599405725,0.231755776,0.962797839
