,Unnamed: 0,Stkcd,SP_TTM,EP_TTM,EP_LYR,CashFlowYiled_LYR,CashFlowYiled_TTM,FreeCashFlowYield_TTM,BP_LR,Sales2EV,SaleEarnings_SQ_YoY,Earnings_SQ_YoY,Sales_SQ_YoY,ROE_LR,ROA_LR,CurrentRatio,AssetTurnover,Momentum_1M,Momentum_12M,MACrossover,jlr,yylr,yysr,LTD2Equity_LR,Momentum_24M,PD,BZC,y
0,1,2,14.0912,0.095873834,0.095873834,0.059284271,0.11632124,0.108699193,0.370142041,0.571547039,34.6744,40.4732,39.2854,18.09,6.1106,1.30224729,0.254693325,0.621101526,0.757553957,0.087196049,496.9431,471.401,295.3469,0.548235126,1.587923729,3.333213655,0.932239919,1.0
1,3,9,2.8216,0.041533455,0.041533455,0.000541213,0.020787788,-0.016001653,0.192301886,0.197624719,-15.1726,60.4841,5.1152,17.6427,9.0685,1.527756936,0.247989205,-0.102,0.386872587,0.029967617,-79.2633,-86.7273,52.5923,0.74199247,0.347336834,0.302398047,1.021734911,-1.0
2,5,21,10.8433,0.011807014,0.011807014,0.032053993,-0.006290736,-0.055969427,0.340099367,2.042059661,-69.5278,36.8988,-6.7241,3.4716,1.0619,1.165485716,1.112695755,-0.182372881,0.679665738,-0.061834694,2245.0882,177.5844,3.3587,0.026361929,0.849693252,-0.039190799,0.88258917,1.0
3,6,27,2.9842,0.076779684,0.076779684,0.143111527,0.126689864,-0.050164788,0.810126306,0.332056872,-45.7499,-63.9252,-17.9993,8.2463,6.7672,0.882240449,0.203744973,-0.056730769,-0.120967742,-0.171158089,-68.0,-71.4514,-23.0374,0.697284811,0.383638928,-1.925639114,-0.583835654,-1.0
4,7,28,69.3692,0.033118515,0.033118515,0.044081544,0.005731487,-0.002275784,0.229388176,1.116593113,9.3157,29.0012,4.1851,13.9603,8.2549,1.530155109,1.90307355,0.0,0.385920805,-0.069894766,1.6487,-19.8723,-8.0494,0.05975165,0.228184181,-1.20952249,-0.898845377,1.0
5,10,39,26.2743,0.073019112,0.073019112,-0.116029843,0.288549263,-0.108273422,0.917296458,1.359551646,-56.6361,-65.5304,-34.5439,6.9163,3.7336,0.947934504,0.661857599,0.111111111,-0.040657835,-0.120467899,30.3069,18.7632,6.1802,0.888082923,0.33248731,-0.434632783,-0.459631003,-1.0
6,12,49,38.7381,0.036355447,0.036355447,0.075502389,-0.055154156,-0.067597092,0.109844901,0.997271712,-42.9363,-38.8645,0.441,24.7317,9.6313,1.383223091,2.336684613,0.013928571,0.885126162,0.033431886,-5.7095,-6.74,20.5368,0.025085529,0.480573664,0.197675108,0.689421785,-1.0
7,13,50,10.5807,0.021069436,0.021069436,0.169105101,0.079078134,0.016230795,0.502426932,0.562650527,91.2487,-25.1458,-2.0349,4.1868,3.5029,1.831685055,0.553643126,-0.122465867,0.106993737,-0.094621243,193.8006,-262.486,2.6459,0.170231596,-0.171807888,0.366563491,1.286488702,1.0
8,15,61,0.9869,0.002090214,0.002090214,0.05489793,0.041609424,-0.043300236,0.227177311,0.072959855,-227.2218,-777.1246,14.6063,0.4272,2.2163,0.427123396,0.103817047,0.197698037,0.350381679,-0.092491508,-598.9821,-1359.5348,10.5475,0.611006458,0.566873339,-0.043019383,-0.408346228,-1.0
9,16,62,2.1368,0.021373542,0.021373542,0.009243809,-0.000243486,-0.004393314,0.206116815,0.084833498,141.6879,227.8662,228.3105,10.4215,10.0797,1.624063403,0.230519604,-0.035318925,1.412656559,-0.091552477,179.61,162.0943,278.8224,0.182814119,1.17986897,0.117109087,1.30419424,-1.0
10,18,66,55.3799,-0.01246252,-0.01246252,0.107948488,0.104278527,0.031838289,0.165712375,4.54664243,275.0263,738.9161,-0.6825,-1.3769,1.118,1.141117002,1.857775604,0.0,2.759162304,0.026256736,366.1435,629.9338,12.2951,1.612795467,2.701030928,0.751791241,0.204637607,-1.0
11,20,78,13.9596,0.027680981,0.027680981,0.004831984,-0.015986283,-0.025075824,0.096332197,0.66317205,1385.2335,799.3915,11.9099,26.3099,7.4166,1.070933124,0.823115379,0.347581552,1.452405322,-0.0829972,-59.2186,-46.2376,2.5153,0.102661895,1.587473002,0.231755776,0.962797839,-1.0
12,22,90,11.3295,0.032243162,0.032243162,-0.18021626,0.03337463,0.026537473,0.506292705,0.655782828,-58.9941,-53.0012,-1.0899,6.3742,4.6386,1.550533041,0.378153288,-0.098994177,0.233333333,-0.110356209,260.6665,138.3593,135.4722,0.25978131,1.016587678,0.515399304,0.250897943,-1.0
13,23,99,2.1719,0.022431453,0.022431453,0.042431439,0.015732797,-0.005876642,0.359733013,0.150634851,-48.7974,-25.2151,-4.2712,6.0896,6.0198,1.871946909,0.265299576,-0.027631579,0.074909091,-0.120866318,-56.8258,-57.5742,8.5178,0.498109372,0.208503679,-0.851626371,0.632701751,1.0
14,25,156,1.7712,0.019805929,0.019805929,0.044879299,0.044478832,0.014914159,0.343972207,0.119690834,154.4154,-8.4323,34.2932,5.7686,5.6577,3.452809096,0.200295836,0.020217729,0.322580645,-0.129193289,-14.3052,-7.4233,32.1683,0.131369664,0.037646314,-0.045853545,0.562825535,-1.0
15,27,166,1.3745,0.099625072,0.099625072,0.404518249,0.967365996,0.965404072,0.402672952,-1.277439489,96.7042,65.6832,66.1534,24.195,,#DIV/0!,0.061217199,0.028818444,,-0.201310193,238.7192,244.8205,90.7775,0.0,,0.328183759,-0.756920509,-1.0
16,29,338,20.5023,0.059449731,0.059449731,0.186207733,0.330178085,0.210729154,0.872210733,1.819618172,-43.8817,-21.7002,-18.4863,4.3826,2.8624,1.44853583,0.713663873,0.029850746,-0.646024185,-0.474395254,129.8697,14.6853,5.6951,1.048776179,-0.526470588,-0.924276657,-1.348977606,1.0
17,31,401,10.1714,-0.154779392,-0.154779392,0.066025383,0.096500875,0.04713975,0.724151646,0.644272525,-95.9099,-1420.079,-29.6081,-17.0489,-0.8129,0.425869349,0.332020078,0.063414634,-0.166029074,-0.169494158,-46.6932,25.1843,-24.1204,0.932054534,0.242873432,0.948751676,1.174863151,1.0
