Stkcd,F090101B,F090101C,F090501C,F091101A,F091801B,F091801C,F092101C,F090602C,F091002A,F081002B,F081202B,F081602C,jlr,yylr,yysr,rate1,rate2,rate03,factor_ma,F010101A,F011801A,F011901A,rate,PD,BZC,aa,y
002153,-0.183840044,0.745873108,-0.10940948,-0.36953211,-0.191281588,0.245217768,0.932358165,-0.099448279,0.142213621,-0.056413,-0.094736,-0.091218,0.03409343,0.030188616,-0.049807768,0.218724778,-0.890993377,0.769687126,0.044054988,2.11303091,2.233922475,-0.932571322,-3.827235772,-0.037448231,0.056639293,1,1
000876,2.136759092,0.902859543,1.920637716,0.006298541,1.210552548,0.376694715,0.564581487,1.941396683,1.538449722,0.13249,0.086967,-0.121301,0.027793643,0.018528253,-0.031458766,,,,,-0.453430742,0.15035857,-0.804151408,-3.607185629,-0.134235788,0.04215143,2,1
600219,-0.46198952,-0.311243765,-0.28902321,-0.206364015,-0.158974268,-0.096172577,-0.068964378,-0.28001737,0.817632443,-0.325787,-0.292408,-0.027471,0.023093498,-0.003338596,-0.056949317,,,,,-0.142979969,0.368995432,-0.446673494,-3.539735099,-0.283380747,0.043191197,3,1
601000,-0.292210263,-0.040882746,-0.499343652,-0.348588928,-0.052311268,-0.001257488,0.09726042,-0.4914565,-0.496103308,0.088246,0.072864,0.005997,0.023356931,-0.002314022,-0.056254507,,,,,-0.384245625,0.14340684,-0.297286163,-3.289537713,-0.30684315,0.046285863,4,1
000519,-0.084937805,-0.444489182,-0.591773311,-0.435423769,-0.29389974,-0.405685568,0.098966868,-0.58437779,-0.478597337,-0.372139,-0.37834,-0.239505,-0.038687365,-0.464848831,-0.041756322,1.68138987,-0.138508371,-1.543320165,0.220654628,0.392892123,0.943735988,-0.936516507,-2.958333333,-0.544726553,0.03127717,5,1
002191,0.274039018,0.482695984,-0.390548408,-0.381609322,0.089497669,0.174608387,0.667357834,-0.382082577,0.026357907,0.304345,0.28657,0.1708,0.0232479,-0.002037811,-0.056457064,,0.160120846,,-0.01011236,-0.027522579,0.998977057,-0.991114559,-2.677725118,-0.116118296,0.036830789,6,1
002466,-0.156020197,0.843274468,-0.139633793,-0.065832803,0.237154481,0.452780228,0.202730683,-0.129833355,3.163706416,0.51261,0.753286,0.312498,0.063512616,0.076976604,-0.049994965,-0.876305506,-0.881420959,0.030337478,0.480776014,-0.428135244,-0.229596577,0.667816473,-2.669285153,-0.106399058,0.053633496,7,1
002437,-0.205150065,0.088551904,-0.465401016,-0.456837463,-0.088404312,0.117288593,-0.847621994,-0.457333325,-0.334657778,0.565291,0.581319,0.417053,0.029777958,0.011426569,-0.053364403,-0.188099174,,0.257003767,-0.00462963,-0.656715391,-0.405269689,0.05176616,-2.637426901,-0.1412192,0.038974825,8,1
002482,-0.248836551,0.486792415,0.978161795,0.193429316,-1.911652914,-0.426441626,-0.140752989,0.993907759,0.69941957,-0.43447,-0.488799,-0.181647,0.023196355,-0.001628838,-0.055492623,-0.453333333,,-0.229059829,0.028453608,-0.047335094,-0.386984197,-0.021884652,-2.233702337,-0.115375589,0.04658652,9,1
300024,-0.39218083,-0.130780267,-0.511698965,-0.434228,-0.434508766,-0.340056026,-0.044403944,-0.503877531,-0.724553303,0.21208,0.076802,0.106237,0.027674038,0.005289536,-0.054352524,-0.094890511,0.102172164,0.014452555,0.001230853,1.827942862,0.886750117,-0.60574998,-2.089092423,0.042368252,0.048375881,10,1
002373,-0.35614598,0.018937716,-0.435550606,-0.467291556,-0.45399446,-0.290691954,0.064759378,-0.427324141,-0.978425255,0.184253,0.146924,0.133489,-0.004204902,-0.058773843,-0.033476227,-0.042887029,0.466666667,-0.395801495,0.019830028,0.452535715,0.267541765,-0.967410342,-1.99205298,-0.039136314,0.056508645,11,1
